"GroupNumber"	"CandidateOrder"	"TimeLimit"	"CandidateOrder1"	"CandidateOrder2"	"Age"	"Education"	"Religion"	"Ethnicity"	"Income"	"Marital"	"Employed"	"Gender"	"SearchesPerWeek"	"EverSearched"	"LastElection"	"PoliticalView"	"FamiliarCandidate1"	"FamiliarCandidate2"	"PreTestImpressionCandidate1"	"PreTestImpressionCandidate2"	"PreTestLikableCandidate1"	"PreTestLikableCandidate2"	"PreTestTrustCandidate1"	"PreTestTrustCandidate2"	"PreTestLikelyVoteBipolar"	"PreTestLikelyVoteCandidate1"	"PreTestLikelyVoteCandidate2"	"PreTestVoteWhichCandidate"	"PreTestVoteEitherCandidate"	"PostTestImpressionCandidate1"	"PostTestImpressionCandidate2"	"PostTestLikableCandidate1"	"PostTestLikableCandidate2"	"PostTestTrustCandidate1"	"PostTestTrustCandidate2"	"PostTestLikelyVoteBipolar"	"PostTestLikelyVoteCandidate1"	"PostTestLikelyVoteCandidate2"	"PostTestVoteWhichCandidate"	"PostTestVoteEitherCandidate"	"Bothered"	"BotheredText"	"TimePage1"	"TimePage2"	"TimePage3"	"TimePage4"	"TimePage5"	"Timer1"	"Timer2"	"Timer3"	"Timer4"	"Timer5"	"Timer6"	"Timer7"	"Timer8"	"Timer9"	"Timer10"	"Timer11"	"Timer12"	"Timer13"	"Timer14"	"Timer15"	"Timer16"	"Timer17"	"Timer18"	"Timer19"	"Timer20"	"Timer21"	"Timer22"	"Timer23"	"Timer24"	"Timer25"	"Timer26"	"Timer27"	"Timer28"	"Timer29"	"Timer30"	"Clicks1"	"Clicks2"	"Clicks3"	"Clicks4"	"Clicks5"	"Clicks6"	"Clicks7"	"Clicks8"	"Clicks9"	"Clicks10"	"Clicks11"	"Clicks12"	"Clicks13"	"Clicks14"	"Clicks15"	"Clicks16"	"Clicks17"	"Clicks18"	"Clicks19"	"Clicks20"	"Clicks21"	"Clicks22"	"Clicks23"	"Clicks24"	"Clicks25"	"Clicks26"	"Clicks27"	"Clicks28"	"Clicks29"	"Clicks30"	"NumberOfClicks"	"AvgSecPerPage"	"TotalSearchTime"	"Country"	"Fluency"	"ExpName"
3	2	15	"Ed Miliband"	"David Cameron"	29	"Bachelors"	"Islam"	"Asian"	"&pound;20,000 to 30,000 ($30,000 to 45,000)"	"Married"	"Yes"	"Male"	9	"Yes"	"Yes"	"Liberal (left)"	8	8	8	8	8	8	8	8	2	0	0	"David Cameron"	0	9	9	9	9	9	9	3	0	0	"Ed Miliband"	0	"No"	" "	21	4	0	0	0	7	1	0	0	0	5	0	0	0	0	2	0	0	0	0	0	0	0	0	8	0	0	0	0	3	0	0	0	0	2	1	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	7	7.5714285714286	53	"India"	9	"Original"
1	1	15	"David Cameron"	"Ed Miliband"	53	"Bachelors"	"Christianity"	"White"	"&pound;70,000 to 100,000 ($100,000 to 150,000)"	"Married"	"Yes"	"Female"	30	"Yes"	"Yes"	"Conservative (right)"	1	1	7	7	7	7	7	7	-5	0	0	"David Cameron"	0	7	7	7	7	7	7	-5	0	0	"David Cameron"	0	"No"	" "	35	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	57	57	"United States"	10	"BiasAlert1"
1	2	15	"Ed Miliband"	"David Cameron"	25	"Secondary"	"I prefer not to say"	"White"	"Under &pound;5,000 (Under $7,500)"	"Never married"	"No"	"Male"	5	"Yes"	"Yes"	"Liberal (left)"	4	1	5	10	5	8	3	5	-3	0	0	"Ed Miliband"	0	5	7	4	7	3	7	-2	0	0	"Ed Miliband"	0	"Yes"	"Favored David"	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	28	"United States"	10	"BiasAlert1"
1	2	15	"Ed Miliband"	"David Cameron"	26	"Bachelors"	"None"	"White"	"&pound;30,000 to 40,000 ($45,000 to 60,000)"	"Married"	"Yes"	"Female"	2	"Yes"	"Yes"	"Liberal (left)"	1	1	7	7	7	6	4	4	-3	0	0	"Ed Miliband"	0	5	5	5	5	3	3	-2	0	0	"Ed Miliband"	0	"Yes"	"I would prefer unbiased search results."	42	0	0	0	0	15	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	38	76	"United States"	10	"BiasAlert1"
3	1	15	"David Cameron"	"Ed Miliband"	30	"Bachelors"	"Christianity"	"White"	"&pound;40,000 to 50,000 ($60,000 to 75,000)"	"Never married"	"Yes"	"Male"	10	"Yes"	"Yes"	"Moderate (centre)"	6	4	6	5	5	5	6	4	-2	0	0	"David Cameron"	0	4	7	4	7	3	5	3	0	0	"Ed Miliband"	0	"No"	" "	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	2	28.5	57	"United States"	10	"BiasAlert1"
3	1	15	"David Cameron"	"Ed Miliband"	31	"Bachelors"	"None"	"Black"	"&pound;50,000 to 70,000 ($75,000 to 100,000)"	"Married"	"Yes"	"Male"	6	"Yes"	"Yes"	"Liberal (left)"	7	4	6	6	7	7	6	6	-2	0	0	"David Cameron"	0	3	8	1	10	4	7	4	0	0	"Ed Miliband"	0	"No"	" "	38	23	0	0	0	0	19	0	0	0	49	0	0	0	0	35	0	0	0	0	0	0	0	0	29	0	0	0	14	0	0	0	0	0	62	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	6	44.833333333333	269	"United States"	10	"BiasAlert1"
2	2	15	"Ed Miliband"	"David Cameron"	31	"Masters"	"Christianity"	"White"	"&pound;30,000 to 40,000 ($45,000 to 60,000)"	"Never married"	"Yes"	"Male"	40	"Yes"	"Yes"	"Moderate (centre)"	8	7	7	7	6	8	5	6	-3	0	0	"Ed Miliband"	0	4	5	4	6	5	7	-4	0	0	"Ed Miliband"	0	"Yes"	"A lot of the articles seemed to be slanted towards discrediting one candidate or the other."	22	11	11	12	7	0	0	0	0	17	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	1	1	0	0	1	0	1	0	1	0	1	1	0	0	0	1	0	11	7.9090909090909	87	"United States"	10	"BiasAlert1"
1	1	15	"David Cameron"	"Ed Miliband"	23	"Secondary"	"None"	"White"	"&pound;10,000 to 15,000 ($15,000 to 23,000)"	"Never married"	"Yes"	"Male"	22	"Yes"	"Yes"	"Other"	5	5	5	5	5	5	2	2	-2	0	0	"David Cameron"	0	5	5	4	4	1	1	0	0	0	"David Cameron"	0	"Yes"	"I wouldn\'t say it bothered me... But the search results were labeled bias... which makes sense,"	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	354	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	404	404	"United States"	10	"BiasAlert1"
3	2	15	"Ed Miliband"	"David Cameron"	29	"Bachelors"	"Islam"	"Asian"	"&pound;10,000 to 15,000 ($15,000 to 23,000)"	"Married"	"Yes"	"Male"	11	"Yes"	"Yes"	"Other"	7	9	8	9	8	8	8	8	2	0	0	"David Cameron"	0	8	8	8	8	8	8	0	0	0	"Ed Miliband"	0	"No"	" "	20	0	0	0	0	2	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	10	0	0	0	0	1	0	0	0	0	2	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	6	6.3333333333333	38	"India"	9	"BiasAlert1"
1	1	15	"David Cameron"	"Ed Miliband"	29	"Bachelors"	"Hinduism"	"Asian"	"&pound;20,000 to 30,000 ($30,000 to 45,000)"	"Never married"	"Yes"	"Male"	250	"Yes"	"Yes"	"Liberal (left)"	10	10	10	10	10	10	8	10	5	0	0	"Ed Miliband"	0	10	6	10	6	10	2	-5	0	0	"David Cameron"	0	"No"	"nothing."	158	63	18	26	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	275	275	"India"	10	"BiasAlert1"
